Epoch 1
  level=P2 cls=1 hits=0:1635
  level=P2 cls=2 hits=0:1438
  level=P2 cls=3 hits=0:135
  level=P3 cls=0 hits=0:146
  level=P3 cls=1 hits=0:474
  level=P3 cls=2 hits=0:231
  level=P3 cls=3 hits=0:42
  level=P4 cls=1 hits=0:141
  level=P4 cls=2 hits=0:66
  level=P4 cls=3 hits=0:3
Epoch 34
  level=P2 cls=0 hits=0:3265
  level=P2 cls=1 hits=0:1030
  level=P2 cls=2 hits=0:1343
  level=P2 cls=3 hits=0:61
  level=P3 cls=0 hits=0:102
  level=P3 cls=1 hits=0:1107
  level=P3 cls=2 hits=0:206
  level=P3 cls=3 hits=0:33
  level=P4 cls=0 hits=0:7
  level=P4 cls=1 hits=0:201
  level=P4 cls=2 hits=0:33
  level=P4 cls=3 hits=0:23
Epoch 35
  level=P2 cls=0 hits=0:2784
  level=P2 cls=1 hits=0:1616
  level=P2 cls=2 hits=0:1345
  level=P2 cls=3 hits=0:23
  level=P3 cls=0 hits=0:101
  level=P3 cls=1 hits=0:697
  level=P3 cls=2 hits=0:137
  level=P3 cls=3 hits=0:41
  level=P4 cls=1 hits=0:39
  level=P4 cls=2 hits=0:30
  level=P4 cls=3 hits=0:17
Epoch 36
  level=P2 cls=0 hits=0:2915
  level=P2 cls=1 hits=0:1758
  level=P2 cls=2 hits=0:2628
  level=P2 cls=3 hits=0:238
  level=P3 cls=0 hits=0:71
  level=P3 cls=1 hits=0:1027
  level=P3 cls=2 hits=0:113
  level=P3 cls=3 hits=0:13
  level=P4 cls=0 hits=0:1
  level=P4 cls=1 hits=0:167
  level=P4 cls=2 hits=0:31
  level=P4 cls=3 hits=0:1
Epoch 37
  level=P2 cls=0 hits=0:2031
  level=P2 cls=1 hits=0:813
  level=P2 cls=2 hits=0:1448
  level=P2 cls=3 hits=0:127
  level=P3 cls=0 hits=0:140
  level=P3 cls=1 hits=0:609
  level=P3 cls=2 hits=0:186
  level=P3 cls=3 hits=0:31
  level=P4 cls=1 hits=0:188
  level=P4 cls=2 hits=0:52
  level=P4 cls=3 hits=0:6
Epoch 38
  level=P2 cls=0 hits=0:2701
  level=P2 cls=1 hits=0:1024
  level=P2 cls=2 hits=0:3372
  level=P2 cls=3 hits=0:79
  level=P3 cls=0 hits=0:152
  level=P3 cls=1 hits=0:711
  level=P3 cls=2 hits=0:277
  level=P3 cls=3 hits=0:3
  level=P4 cls=0 hits=0:8
  level=P4 cls=1 hits=0:163
  level=P4 cls=2 hits=0:48
  level=P4 cls=3 hits=0:3
Epoch 39
  level=P2 cls=0 hits=0:3084
  level=P2 cls=1 hits=0:1551
  level=P2 cls=2 hits=0:2766
  level=P2 cls=3 hits=0:324
  level=P3 cls=0 hits=0:197
  level=P3 cls=1 hits=0:576
  level=P3 cls=2 hits=0:196
  level=P3 cls=3 hits=0:4
  level=P4 cls=0 hits=0:10
  level=P4 cls=1 hits=0:127
  level=P4 cls=2 hits=0:18
Epoch 40
  level=P2 cls=0 hits=0:2598
  level=P2 cls=1 hits=0:1831
  level=P2 cls=2 hits=0:1466
  level=P2 cls=3 hits=0:87
  level=P3 cls=0 hits=0:107
  level=P3 cls=1 hits=0:775
  level=P3 cls=2 hits=0:138
  level=P3 cls=3 hits=0:51
  level=P4 cls=0 hits=0:1
  level=P4 cls=1 hits=0:106
  level=P4 cls=2 hits=0:40
  level=P4 cls=3 hits=0:9
Epoch 41
  level=P2 cls=0 hits=0:2233
  level=P2 cls=1 hits=0:1042
  level=P2 cls=2 hits=0:3425
  level=P2 cls=3 hits=0:308
  level=P3 cls=0 hits=0:90
  level=P3 cls=1 hits=0:306
  level=P3 cls=2 hits=0:182
  level=P3 cls=3 hits=0:2
  level=P4 cls=0 hits=0:6
  level=P4 cls=1 hits=0:180
  level=P4 cls=2 hits=0:48
  level=P4 cls=3 hits=0:6
Epoch 42
  level=P2 cls=0 hits=0:2245
  level=P2 cls=1 hits=0:1339
  level=P2 cls=2 hits=0:1626
  level=P2 cls=3 hits=0:207
  level=P3 cls=0 hits=0:373
  level=P3 cls=1 hits=0:743
  level=P3 cls=2 hits=0:223
  level=P3 cls=3 hits=0:15
  level=P4 cls=0 hits=0:6
  level=P4 cls=1 hits=0:238
  level=P4 cls=2 hits=0:27
  level=P4 cls=3 hits=0:2
Epoch 43
  level=P2 cls=0 hits=0:3045
  level=P2 cls=1 hits=0:1553
  level=P2 cls=2 hits=0:2897
  level=P2 cls=3 hits=0:213
  level=P3 cls=0 hits=0:150
  level=P3 cls=1 hits=0:814
  level=P3 cls=2 hits=0:248
  level=P3 cls=3 hits=0:14
  level=P4 cls=1 hits=0:142
  level=P4 cls=2 hits=0:62
  level=P4 cls=3 hits=0:17
Epoch 44
  level=P2 cls=0 hits=0:1590
  level=P2 cls=1 hits=0:904
  level=P2 cls=2 hits=0:2736
  level=P2 cls=3 hits=0:240
  level=P3 cls=0 hits=0:130
  level=P3 cls=1 hits=0:671
  level=P3 cls=2 hits=0:204
  level=P3 cls=3 hits=0:47
  level=P4 cls=1 hits=0:175
  level=P4 cls=2 hits=0:31
  level=P4 cls=3 hits=0:7
Epoch 45
  level=P2 cls=0 hits=0:1580
  level=P2 cls=1 hits=0:1268
  level=P2 cls=2 hits=0:2224
  level=P2 cls=3 hits=0:190
  level=P3 cls=0 hits=0:370
  level=P3 cls=1 hits=0:963
  level=P3 cls=2 hits=0:199
  level=P3 cls=3 hits=0:58
  level=P4 cls=1 hits=0:135
  level=P4 cls=2 hits=0:108
Epoch 46
  level=P2 cls=0 hits=0:3170
  level=P2 cls=1 hits=0:1396
  level=P2 cls=2 hits=0:2998
  level=P2 cls=3 hits=0:514
  level=P3 cls=0 hits=0:155
  level=P3 cls=1 hits=0:661
  level=P3 cls=2 hits=0:215
  level=P3 cls=3 hits=0:32
  level=P4 cls=0 hits=0:6
  level=P4 cls=1 hits=0:53
  level=P4 cls=2 hits=0:87
  level=P4 cls=3 hits=0:9
Epoch 47
  level=P2 cls=0 hits=0:2941
  level=P2 cls=1 hits=0:1073
  level=P2 cls=2 hits=0:1584
  level=P2 cls=3 hits=0:41
  level=P3 cls=0 hits=0:119
  level=P3 cls=1 hits=0:790
  level=P3 cls=2 hits=0:172
  level=P3 cls=3 hits=0:12
  level=P4 cls=1 hits=0:189
  level=P4 cls=2 hits=0:32
  level=P4 cls=3 hits=0:1
Epoch 48
  level=P2 cls=0 hits=0:3246
  level=P2 cls=1 hits=0:1179
  level=P2 cls=2 hits=0:2103
  level=P2 cls=3 hits=0:48
  level=P3 cls=0 hits=0:162
  level=P3 cls=1 hits=0:413
  level=P3 cls=2 hits=0:213
  level=P3 cls=3 hits=0:16
  level=P4 cls=1 hits=0:138
  level=P4 cls=2 hits=0:67
  level=P4 cls=3 hits=0:1
Epoch 49
  level=P2 cls=0 hits=0:3067
  level=P2 cls=1 hits=0:1385
  level=P2 cls=2 hits=0:1920
  level=P2 cls=3 hits=0:235
  level=P3 cls=0 hits=0:145
  level=P3 cls=1 hits=0:972
  level=P3 cls=2 hits=0:86
  level=P3 cls=3 hits=0:39
  level=P4 cls=0 hits=0:1
  level=P4 cls=1 hits=0:268
  level=P4 cls=2 hits=0:22
  level=P4 cls=3 hits=0:1
Epoch 50
  level=P2 cls=0 hits=0:2829
  level=P2 cls=1 hits=0:1731
  level=P2 cls=2 hits=0:2196
  level=P2 cls=3 hits=0:38
  level=P3 cls=0 hits=0:47
  level=P3 cls=1 hits=0:982
  level=P3 cls=2 hits=0:215
  level=P3 cls=3 hits=0:16
  level=P4 cls=1 hits=0:207
  level=P4 cls=2 hits=0:54
  level=P4 cls=3 hits=0:2
